states,words,logit_seq,reset_bool,ind_seq,state_list_sm
[ 0.80961984 -0.3976275 ],0,[-4.5242405  5.2496743],0,0,[0.00005691 0.99994309]
[ 0.8900601 -0.4333451],0,[-4.9617624  5.761806 ],0,0,[0.00002202 0.99997798]
[ 0.9360254  -0.24565247],1,[-4.5534143  5.5352607],0,0,[0.00004155 0.99995845]
[ 0.9528008  -0.03815319],1,[-3.9646437  5.1057963],0,0,[0.000115 0.999885]
[ 0.9701234  -0.49203146],0,[-5.470428   6.3292594],0,0,[0.00000751 0.99999249]
[ 0.97904    -0.46530282],0,[-5.4218416  6.309466 ],0,0,[0.00000804 0.99999196]
[ 0.97083855 -0.24908148],1,[-4.7047114  5.726892 ],0,0,[0.00002948 0.99997052]
[ 0.97206074 -0.02868851],1,[-4.0124025  5.183468 ],0,0,[0.00010145 0.99989855]
[0.9628519  0.24087429],1,[-3.122456  4.462516],0,0,[0.00050777 0.99949223]
[0.8323432  0.56110173],1,[-1.5828589  2.9772687],0,0,[0.01035243 0.98964757]
[-0.15251592  0.8087022 ],1,[ 3.1737313 -2.8196597],0,0,[0.99751102 0.00248898]
[-0.69854385  0.83247864],1,[ 5.451824 -5.750442],0,1,[0.99998636 0.00001364]
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[0.61185884 0.1284489 ],1,[-2.0620952  2.897193 ],0,0,[0.00696901 0.99303099]
[0.63154393 0.30063558],1,[-1.5967786  2.5711303],0,0,[0.01524849 0.98475151]
[ 0.41016483 -0.28060192],0,[-2.5424707  2.8570483],0,0,[0.00449843 0.99550157]
[ 0.7546503  -0.19135341],1,[-3.6499004  4.4459724],0,0,[0.0003047 0.9996953]
[ 0.87961394 -0.0392756 ],1,[-3.6729321  4.72372  ],0,0,[0.00022557 0.99977443]
[0.89812446 0.18879181],1,[-3.0260916  4.252065 ],0,0,[0.00068998 0.99931002]
[0.76879853 0.47807884],1,[-1.5891497  2.85023  ],0,0,[0.01166557 0.98833443]
[-0.03397436  0.73162913],1,[ 2.451662  -2.0039837],0,0,[0.98852049 0.01147951]
[-0.653188    0.78370327],1,[ 5.1145353 -5.3902354],0,0,[0.9999726 0.0000274]
[-0.8156108   0.75980926],1,[ 5.6942163 -6.1847754],0,0,[0.99999307 0.00000693]
[-0.86542547  0.74799854],1,[ 5.8578215 -6.4172754],0,0,[0.99999533 0.00000467]
[-0.8851241  0.7462436],1,[ 5.931741 -6.516489],0,0,[0.99999608 0.00000392]
[-0.8942635   0.74825937],1,[ 5.97499   -6.5695806],0,0,[0.99999644 0.00000356]
[-0.899035   0.7516592],1,[ 6.0049953 -6.603155 ],0,1,[0.99999666 0.00000334]
[ 0.13206244 -0.11918972],0,[-0.90985847  0.9918554 ],1,0,[0.12991462 0.87008538]
[ 0.5711784  -0.07331466],1,[-2.536279   3.1866353],0,0,[0.00325951 0.99674049]
[ 0.712771  -0.3342938],0,[-3.9331536  4.5823545],0,0,[0.0002003 0.9997997]
[ 0.87267125 -0.19415185],1,[-4.134893   5.0736055],0,0,[0.00010017 0.99989983]
[ 0.9224946  -0.00231711],1,[-3.7290056  4.8570147],0,0,[0.00018666 0.99981334]
[0.91330135 0.25293812],1,[-2.884386  4.171841],0,0,[0.00086128 0.99913872]
[0.70090723 0.55636775],1,[-1.0675753  2.2978811],0,0,[0.03339265 0.96660735]
[ 0.14633031 -0.17070214],0,[-1.130386   1.1954044],0,0,[0.08900942 0.91099058]
